#separator:;
#html:true
#tags column:4
O IAM é um serviço zonal, regional ou global?;Global;Protege os dados do IAM em todas as Regiões da AWS. Contraste - VPC é regional e subnet é zonal.;SAA-C03 d1 IAM num
Cognito - qual a diferença entre user pool e identity pool?;User pool autentica os usuários. Identity pool entrega credenciais AWS temporárias;O identity pool troca o token do provedor por credenciais via STS. A aula avisa que haverá questões de cenário sobre Cognito.;SAA-C03 d1 Cognito disc
Quais três serviços dominam a estratégia de segurança para múltiplas contas AWS?;AWS Organizations, AWS Control Tower e as Service Control Policies - SCP;Usados para obter visibilidade, impor padrões de segurança e automatizar alertas.;SAA-C03 d1 Organizations def
O que é rastreabilidade no contexto de segurança AWS?;A capacidade de monitorar, alertar e auditar ações e alterações no ambiente em tempo real;Também integra coleta de registros e métricas com sistemas que investigam e agem automaticamente.;SAA-C03 d1 Organizations def
Quando usar S3 Lifecycle Configuration em vez de S3 Intelligent-Tiering?;Lifecycle quando o padrão de acesso é previsível. Intelligent-Tiering quando é imprevisível;Com Lifecycle você escreve a regra por idade do objeto. O Intelligent-Tiering move automaticamente e cobra taxa de monitoramento.;SAA-C03 d1 S3 disc
Qual a ordem da lógica de avaliação de políticas do IAM?;1 - tudo negado por padrão. 2 - negação explícita em qualquer política vence tudo. 3 - sem deny explícito, basta um Allow aplicável;Com SCP ou permissions boundary o resultado é a interseção - a ação precisa ser permitida em ambos.;SAA-C03 d1 IAM disc
Uma SCP pode conceder permissão a uma conta da organização?;Não - SCP nunca concede, apenas limita o teto de permissões;A permissão efetiva é a interseção entre a política de identidade e a SCP.;SAA-C03 d1 SCP disc
Qual a duração máxima de uma sessão obtida via AssumeRole do STS?;12 horas - 43.200 segundos;Depende também do maximum session duration configurado na role. Já GetSessionToken vai até 36 horas para usuário IAM e apenas 1 hora para o usuário raiz.;SAA-C03 d1 STS num
Qual a diferença entre a NACL padrão e uma NACL personalizada recém-criada?;A NACL padrão permite todo o tráfego - regra 100 ALLOW. A personalizada nega tudo até você criar regras;Ambas têm a regra * DENY final, que não pode ser removida.;SAA-C03 d1 VPC disc
O que torna uma subnet pública?;Ter uma rota para um Internet Gateway na tabela de rotas associada;Não é uma propriedade da subnet em si - é configuração de roteamento.;SAA-C03 d1 VPC disc
Por que uma NACL precisa de regras para portas efêmeras?;Porque é stateless - o tráfego de retorno não é liberado automaticamente e precisa de regra explícita;A faixa 1024-65535 cobre os casos comuns. Security groups não têm esse problema por serem stateful.;SAA-C03 d1 VPC cen
Quanto custa o AWS Shield Advanced e qual o compromisso mínimo?;US$ 3.000 por mês por organização, mais transferência de dados, com compromisso de 1 ano;O Shield Standard é gratuito e automático para todos os clientes.;SAA-C03 d1 Shield num
Que recursos o Shield Advanced oferece e o Standard não?;Monitoramento contínuo do tráfego, visibilidade quase em tempo real, integração com WAF, DDoS cost protection e acesso 24/7 ao Shield Response Team;DDoS cost protection dá créditos pelo custo do escalonamento durante um ataque. O Standard cobre só ataques comuns de camada 3 e 4.;SAA-C03 d1 Shield disc
Qual o discriminador real entre KMS e CloudHSM hoje?;Single-tenancy sob controle do cliente e acesso às interfaces PKCS #11 e JCE;O argumento clássico do FIPS caducou - o KMS já é FIPS 140-3 Nível 3. O exame ainda pode testar o enquadramento antigo.;SAA-C03 d1 CloudHSM disc
Como usar KMS e CloudHSM em conjunto?;Configurando o cluster CloudHSM como custom key store do KMS;As chaves são geradas no seu cluster e nunca saem dos HSMs em texto claro, mas você mantém a integração nativa do KMS com os demais serviços.;SAA-C03 d1 KMS cen
Qual o período padrão de rotação automática de chaves no KMS e qual a faixa configurável?;Padrão de 365 dias, configurável entre 90 e 2560 dias;—;SAA-C03 d1 KMS num
Que tipos de chave do KMS NÃO suportam rotação automática?;Assimétricas, HMAC, com material importado e as de custom key store;Só chaves simétricas de criptografia suportam rotação automática. As demais exigem rotação manual.;SAA-C03 d1 KMS disc
Criptografia simétrica vs assimétrica - quantas chaves e qual o uso típico de cada?;Simétrica usa uma só chave para cifrar e decifrar, é rápida e serve para volume de dados. Assimétrica usa par pública/privada, é lenta e serve para troca de chaves e assinatura digital;No KMS, só a simétrica tem rotação automática.;SAA-C03 d1 KMS disc
Quando o ACM renova um certificado e sob quais condições?;60 dias antes do vencimento, desde que o certificado esteja em uso por um serviço AWS e os registros CNAME do ACM continuem publicados no DNS;Remover o CNAME quebra a renovação automática. O ACM alerta em 30, 15, 7, 3 e 1 dia antes do vencimento.;SAA-C03 d1 ACM num
Qual a banda de um túnel Site-to-Site VPN e a de uma conexão Direct Connect dedicada?;O túnel VPN entrega 1,25 Gbps - com opção de 5 Gbps. O Direct Connect dedicado oferece portas de 1, 10 ou 100 Gbps;Hosted connections do Direct Connect vão de 50 Mbps a 10 Gbps.;SAA-C03 d1 DirectConnect num
Quando escolher Direct Connect em vez de Site-to-Site VPN?;Quando exigirem banda alta dedicada, latência consistente sub-10 ms ou circuito privado por regulamentação;A VPN sobe em minutos e é mais barata. O Direct Connect exige provisionamento físico de semanas. O padrão recomendado é Direct Connect com VPN de backup.;SAA-C03 d1 DirectConnect cen
Quantos túneis uma conexão Site-to-Site VPN fornece e por quê?;Dois túneis, para alta disponibilidade e redundância;—;SAA-C03 d1 VPN num
